label_id	ganglion_id	merged_bilateral_ganglion_id	ganglion_name	ganglion_name_short	gangliaColourScheme
510	14.0	7.0	frontal ganglion	FG	255-15-187-253
511	19.0		None	None	None
512	19.0		None	None	None
513	9.0	5.0	antennal ganglia	AG	255-138-205-0
514	9.0	5.0	antennal ganglia	AG	255-138-205-0
515	9.0	5.0	antennal ganglia	AG	255-138-205-0
516	19.0		None	None	None
517	9.0	5.0	antennal ganglia	AG	255-138-205-0
518	9.0	5.0	antennal ganglia	AG	255-138-205-0
519	19.0		None	None	None
520	19.0		None	None	None
521	19.0		None	None	None
522	19.0		None	None	None
523	19.0		None	None	None
525	19.0		None	None	None
526	2.0	1.0	palpal ganglia	PG	255-181-131-84
527	2.0	1.0	palpal ganglia	PG	255-181-131-84
528	19.0		None	None	None
529	19.0		None	None	None
530	14.0	7.0	frontal ganglion	FG	255-15-187-253
531	14.0	7.0	frontal ganglion	FG	255-15-187-253
532	14.0	7.0	frontal ganglion	FG	255-15-187-253
533	19.0		None	None	None
534	19.0		None	None	None
535	7.0	4.0	dorsal ganglion	DG	255-104-60-255
536	9.0	5.0	antennal ganglia	AG	255-138-205-0
537	9.0	5.0	antennal ganglia	AG	255-138-205-0
538	9.0	5.0	antennal ganglia	AG	255-138-205-0
539	9.0	5.0	antennal ganglia	AG	255-138-205-0
540	19.0		None	None	None
541	19.0		None	None	None
543	19.0		None	None	None
544	19.0		None	None	None
545	19.0		None	None	None
546	10.0	5.0	antennal ganglia	AG	255-138-205-0
547	10.0	5.0	antennal ganglia	AG	255-138-205-0
548	19.0		None	None	None
549	14.0	7.0	frontal ganglion	FG	255-15-187-253
550	8.0	4.0	dorsal ganglion	DG	255-104-60-255
551	19.0		None	None	None
552	19.0		None	None	None
553	19.0		None	None	None
554	10.0	5.0	antennal ganglia	AG	255-138-205-0
555	10.0	5.0	antennal ganglia	AG	255-138-205-0
556	10.0	5.0	antennal ganglia	AG	255-138-205-0
557	19.0		None	None	None
