label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	cell_id	nucleus_id
323.0	200.8	145.52	47.8	176.16	131.92	5.3	201.36	150.8	51.4	522.0	2949.0	0.0
325.0	205.68	143.6	48.9	176.96	128.88	5.4	208.32	147.04	51.2	466.0	3667.0	0.0
327.0	203.6	140.16	47.7	177.36	126.48	5.2	205.52	146.32	50.3	573.0	2949.0	0.0
329.0	200.88	141.76	43.5	180.4	140.64	13.2	202.32	149.84	45.7	309.0	2949.0	0.0
33.0	179.44	200.64	0.1	175.6	188.32	0.1	195.2	207.6	61.5	1974.0	58.0	0.0
331.0	195.52	142.24	42.4	175.2	136.24	7.7	199.52	149.84	45.6	365.0	2949.0	0.0
333.0	205.6	143.68	52.2	173.84	124.64	6.0	205.84	148.08	55.2	539.0	1667.0	0.0
335.0	198.72	168.72	62.7	177.92	129.68	8.2	207.44	180.16	63.6	800.0	1667.0	0.0
337.0	197.28	143.6	47.4	176.96	132.72	5.1	198.88	149.84	49.7	503.0	2949.0	0.0
339.0	195.36	143.68	38.2	174.0	124.96	6.9	195.44	146.4	39.8	312.0	2949.0	0.0
341.0	204.16	142.96	46.1	176.32	125.76	5.9	208.64	145.28	47.9	533.0	2949.0	0.0
343.0	202.32	138.4	35.7	181.52	133.04	5.7	202.8	142.16	36.5	266.0	2109.0	0.0
345.0	199.84	140.0	27.1	181.92	132.56	5.8	200.4	140.08	27.2	93.0	1037.0	0.0
347.0	195.6	149.84	55.9	177.36	131.6	4.9	198.56	150.16	57.0	563.0	1667.0	0.0
349.0	193.76	137.92	21.5	181.52	132.72	5.6	193.84	138.08	21.6	71.0	1187.0	0.0
351.0	214.24	158.56	59.1	210.48	143.52	0.6	222.56	161.68	59.2	455.0	1667.0	0.0
353.0	218.32	159.6	50.8	212.48	144.72	0.2	221.2	160.72	53.4	412.0	1667.0	0.0
355.0	205.84	148.08	60.4	204.96	143.76	0.1	223.2	161.44	61.6	499.0	1667.0	0.0
357.0	222.0	160.8	41.2	207.12	145.04	0.2	222.08	160.88	41.3	273.0	1667.0	0.0
359.0	213.12	161.36	58.5	176.08	117.52	0.1	222.8	162.16	62.5	630.0	1667.0	0.0
361.0	199.28	156.8	60.8	196.0	142.56	0.6	222.72	161.84	63.9	514.0	1667.0	0.0
363.0	218.96	160.32	48.7	212.8	146.08	0.2	221.92	163.92	49.9	358.0	1667.0	0.0
365.0	194.32	152.96	58.1	194.32	147.12	5.4	223.6	161.84	64.2	524.0	1667.0	0.0
367.0	221.6	160.56	46.3	210.24	142.8	0.3	223.84	161.92	46.4	280.0	1667.0	0.0
369.0	204.64	140.4	55.9	174.88	116.24	0.2	222.0	162.56	62.6	644.0	1667.0	0.0
37.0	157.6	164.24	5.4	157.28	164.24	5.4	173.84	189.92	49.3	1323.0	0.0	0.0
371.0	206.32	156.08	63.3	203.52	148.08	0.2	221.52	163.12	64.4	526.0	1667.0	0.0
373.0	188.72	180.64	61.9	188.72	148.24	0.1	221.12	180.72	65.5	642.0	1667.0	0.0
375.0	204.24	154.8	62.6	203.28	146.08	0.1	221.52	162.96	64.1	541.0	1667.0	0.0
377.0	204.16	146.72	60.4	204.16	146.0	0.2	222.0	164.32	64.1	595.0	1667.0	0.0
379.0	195.92	162.96	56.5	193.68	148.16	0.2	224.88	163.68	64.3	551.0	1667.0	0.0
381.0	208.72	187.28	62.3	195.6	183.28	46.8	225.92	203.36	71.8	1134.0	1667.0	0.0
385.0	198.8	179.36	43.1	192.96	173.76	41.2	218.32	197.52	72.3	668.0	1667.0	0.0
387.0	188.88	206.56	42.5	188.88	199.28	29.0	199.92	208.8	42.6	153.0	1667.0	0.0
389.0	180.16	202.8	57.4	180.16	202.8	25.6	200.08	210.88	57.5	235.0	1667.0	0.0
39.0	215.76	145.76	0.4	197.92	145.76	0.4	221.36	162.72	63.8	1269.0	4.0	0.0
391.0	180.48	201.84	57.7	180.48	201.84	26.3	201.04	212.0	57.8	204.0	1667.0	0.0
393.0	174.08	195.28	59.2	166.72	190.24	0.0	196.48	208.0	62.8	557.0	1667.0	0.0
395.0	178.56	197.2	61.0	177.6	189.92	0.1	195.84	208.64	61.1	475.0	1667.0	0.0
397.0	189.28	184.08	60.8	184.8	184.08	12.2	205.12	207.76	60.9	465.0	1667.0	0.0
399.0	182.48	191.28	56.5	171.84	187.68	0.4	200.08	207.6	61.0	957.0	1667.0	0.0
40.0	167.36	183.84	55.1	166.16	182.88	45.5	168.48	196.32	55.2	183.0	1667.0	0.0
401.0	169.6	190.72	56.2	169.52	190.72	22.6	200.96	211.28	62.2	599.0	1667.0	0.0
403.0	189.2	180.56	61.7	176.32	180.56	0.1	194.0	210.88	64.0	643.0	1667.0	0.0
405.0	150.48	184.48	52.9	150.48	184.48	0.0	188.96	213.44	57.4	507.0	4374.0	0.0
407.0	172.8	192.4	58.1	167.52	188.8	8.1	189.52	208.24	61.8	694.0	1667.0	0.0
409.0	186.64	207.84	42.4	177.84	194.72	0.1	190.96	207.92	42.5	256.0	1667.0	0.0
411.0	178.96	196.48	58.5	171.52	192.64	0.1	190.0	209.68	59.4	616.0	1667.0	0.0
413.0	174.72	188.72	59.5	174.72	188.72	0.1	191.76	208.88	62.8	691.0	1667.0	0.0
415.0	175.12	194.24	60.9	168.96	191.04	0.2	192.24	208.8	64.3	929.0	1667.0	0.0
417.0	202.24	149.6	50.4	188.8	146.72	42.3	202.32	156.4	53.6	350.0	1667.0	0.0
419.0	189.28	150.32	52.5	187.2	146.0	44.8	196.88	150.4	53.7	116.0	1667.0	0.0
42.0	180.64	117.68	10.3	180.64	117.6	10.3	206.0	143.28	53.6	578.0	2.0	0.0
421.0	183.36	169.6	45.3	180.8	146.64	43.4	197.52	169.68	54.1	583.0	1667.0	0.0
423.0	194.48	148.16	52.3	191.2	146.0	47.4	200.48	151.92	53.2	210.0	1667.0	0.0
425.0	184.96	169.36	41.0	184.8	147.68	38.2	195.44	169.52	53.3	283.0	1667.0	0.0
429.0	177.84	171.12	48.3	176.72	145.84	36.6	195.92	171.84	53.6	476.0	1667.0	0.0
431.0	200.48	153.12	54.8	198.64	148.32	48.1	204.56	155.68	55.9	92.0	1667.0	0.0
433.0	189.12	148.64	53.6	189.12	147.52	45.4	204.56	158.24	56.6	195.0	1667.0	0.0
435.0	197.76	148.48	53.6	197.44	147.68	49.2	212.24	153.92	53.7	61.0	1667.0	0.0
437.0	197.28	147.52	50.6	196.72	147.52	46.7	214.4	154.08	50.7	60.0	1667.0	0.0
439.0	199.28	147.04	50.9	199.28	145.28	42.3	213.6	155.2	51.0	125.0	1667.0	0.0
441.0	198.08	147.04	49.8	198.08	147.04	45.5	207.52	154.16	49.9	41.0	1667.0	0.0
443.0	194.08	149.2	52.0	194.08	146.48	43.2	202.64	152.24	52.1	88.0	1667.0	0.0
445.0	195.52	147.2	56.0	195.52	145.68	44.5	209.2	150.8	56.1	124.0	1667.0	0.0
447.0	195.36	147.52	52.5	194.56	147.52	44.4	214.0	151.6	52.6	113.0	1667.0	0.0
449.0	197.04	147.36	54.2	197.04	147.04	48.6	213.28	149.68	54.5	104.0	1667.0	0.0
45.0	185.84	152.8	38.5	185.12	147.28	38.5	193.52	156.0	51.8	229.0	1646.0	1678.0
451.0	192.8	147.04	53.1	192.8	145.28	48.7	198.96	150.48	53.2	93.0	1667.0	0.0
453.0	195.6	144.48	50.5	195.6	144.24	46.7	214.08	157.44	52.5	193.0	1667.0	0.0
455.0	197.28	147.28	49.1	197.28	147.28	41.1	208.16	156.88	49.5	56.0	1667.0	0.0
457.0	209.04	147.04	56.1	202.56	130.32	13.6	218.56	158.64	56.2	270.0	1667.0	0.0
459.0	202.4	149.12	49.9	201.04	149.12	38.0	207.68	156.32	53.6	100.0	1667.0	0.0
461.0	195.68	148.8	52.2	195.68	146.24	47.1	220.24	148.96	52.3	92.0	1667.0	0.0
463.0	192.0	153.6	52.9	191.04	146.8	39.2	210.96	154.96	53.8	185.0	1667.0	0.0
465.0	215.2	186.96	60.2	200.16	129.6	13.7	219.68	197.44	69.0	746.0	1667.0	0.0
469.0	200.24	152.0	54.4	198.32	143.92	43.5	206.88	152.08	54.6	227.0	1667.0	0.0
47.0	192.64	180.32	44.7	184.24	173.36	42.4	195.76	191.92	68.4	1193.0	1667.0	0.0
471.0	202.88	151.44	58.3	202.16	130.24	13.5	218.56	153.36	58.4	450.0	1667.0	0.0
473.0	201.76	146.4	52.7	200.4	144.16	39.6	206.96	149.36	52.8	157.0	1667.0	0.0
475.0	201.44	145.2	46.8	199.68	144.16	45.4	221.2	154.08	54.2	255.0	2949.0	0.0
